Date,Game,event_description,winner,date,event_description_at,away_team,home_team,sep,pair_key,game_number
22-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,2025-05-22,Minnesota Timberwolves @ Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,vs,Minnesota Timberwolves | Oklahoma City Thunder,2
23-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,L,2025-05-23,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,vs,Indiana Pacers | New York Knicks,2
24-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder @ Minnesota Timberwolves,L,2025-05-24,Oklahoma City Thunder @ Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves,@,Minnesota Timberwolves | Oklahoma City Thunder,3
25-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,W,2025-05-25,New York Knicks @ Indiana Pacers,New York Knicks,Indiana Pacers,@,Indiana Pacers | New York Knicks,3
26-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder @ Minnesota Timberwolves,W,2025-05-26,Oklahoma City Thunder @ Minnesota Timberwolves,Oklahoma City Thunder,Minnesota Timberwolves,@,Minnesota Timberwolves | Oklahoma City Thunder,4
27-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,L,2025-05-27,New York Knicks @ Indiana Pacers,New York Knicks,Indiana Pacers,@,Indiana Pacers | New York Knicks,4
28-05-2025,Minnesota Timberwolves & Oklahoma City Thunder,Oklahoma City Thunder vs. Minnesota Timberwolves,W,2025-05-28,Minnesota Timberwolves @ Oklahoma City Thunder,Minnesota Timberwolves,Oklahoma City Thunder,vs,Minnesota Timberwolves | Oklahoma City Thunder,5
29-05-2025,Indiana Pacers & New York Knicks,New York Knicks vs. Indiana Pacers,W,2025-05-29,Indiana Pacers @ New York Knicks,Indiana Pacers,New York Knicks,vs,Indiana Pacers | New York Knicks,5
31-05-2025,Indiana Pacers & New York Knicks,New York Knicks @ Indiana Pacers,L,2025-05-31,New York Knicks @ Indiana Pacers,New York Knicks,Indiana Pacers,@,Indiana Pacers | New York Knicks,6
05-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,L,2025-06-05,Oklahoma City Thunder @ Indiana Pacers,Oklahoma City Thunder,Indiana Pacers,@,Indiana Pacers | Oklahoma City Thunder,1
08-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,2025-06-08,Oklahoma City Thunder @ Indiana Pacers,Oklahoma City Thunder,Indiana Pacers,@,Indiana Pacers | Oklahoma City Thunder,2
11-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,L,2025-06-11,Indiana Pacers @ Oklahoma City Thunder,Indiana Pacers,Oklahoma City Thunder,vs,Indiana Pacers | Oklahoma City Thunder,3
13-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,W,2025-06-13,Indiana Pacers @ Oklahoma City Thunder,Indiana Pacers,Oklahoma City Thunder,vs,Indiana Pacers | Oklahoma City Thunder,4
16-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,2025-06-16,Oklahoma City Thunder @ Indiana Pacers,Oklahoma City Thunder,Indiana Pacers,@,Indiana Pacers | Oklahoma City Thunder,5
19-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder vs. Indiana Pacers,L,2025-06-19,Indiana Pacers @ Oklahoma City Thunder,Indiana Pacers,Oklahoma City Thunder,vs,Indiana Pacers | Oklahoma City Thunder,6
22-06-2025,Indiana Pacers & Oklahoma City Thunder,Oklahoma City Thunder @ Indiana Pacers,W,2025-06-22,Oklahoma City Thunder @ Indiana Pacers,Oklahoma City Thunder,Indiana Pacers,@,Indiana Pacers | Oklahoma City Thunder,7
